round	time	inputs	outputs	response
80	0.50230718	294	9	Don't be afraid to take a chance.
81	3.09146333	288	10	How can I meet lots of cool new people?
82	1.78164840	295	10	The Brain is the size of the tip of your
83	9.70069790	292	7	We are not interested in humans.
84	0.46169972	297	6	A book on time management.
85	40.99211860	294	19	Consider the features you need for your device, such as size, connectivity, and battery life.
86	43.69261837	297	10	Plan ahead and be open to the many possibilities.
87	22.87169170	292	4	I am working.
88	46.11148858	308	17	Make sure you have all the facts and figures on your side before entering a negotiation.
89	40.92724538	300	5	I'll be there.
90	16.34307933	296	17	Ask for what you're looking for, and make sure to have a backup plan.
91	15.82928777	292	11	Well...It's cold, and I'm hungry.
92	37.98307109	296	15	I'm fine. Is there anything else you'd like to talk about?
93	1.69962502	298	17	No, I am not in Asda. I sell software services to other businesses.
94	44.73045588	299	12	Have the right tools, prepare, negotiate, and listen.
95	0.55004072	301	8	Pick a day and see it through.
96	10.20876312	293	29	I know you have a job to do, so I won’t hold it against you if you can’t answer my question.
97	41.26318288	296	9	Never... well, except the old ways.
98	40.53732061	297	18	Negotiation is a part of every day life, and requires patience and a positive attitude.
99	27.09257627	295	13	What was it exactly? I will need time to process this.
100	42.72216511	301	10	It's not possible to skype with you.
101	44.07251048	291	7	Taking a business approach to negotiation.
102	44.41594434	299	5	3:30AM.
103	43.07997417	295	8	I did. I saw a mouse.
104	43.61758828	287	8	A strong sense of self-awareness.
105	0.88580847	301	14	You're going to be spending a lot of time with your family.
106	1.48924518	290	12	Ask for exactly what you need in the most polite manner.
107	40.37231183	291	15	I'm working, but I'd like you to relax with a friend.
108	42.70187688	292	15	[  No, I don't know anything about going swimming, I'll
109	0.77584410	302	14	No way. You're the one who voted for this fucking guy.
110	9.70658970	297	5	You're so high.
111	21.68923140	296	12	School counselors are responsible for the safety of the whole school.
112	3.54745102	290	29	You should be nice, friendly, and open to all sorts of different viewpoints. To get the most out of this, be a good listener.
113	41.31549525	297	8	A cake, card, and present.
114	9.24169135	294	3	i'm bored
115	10.42509294	294	18	Cleaning the house is something that should be done, regardless of how busy one is.
116	47.31843281	305	5	I'm up for it
117	44.25046659	292	11	Being honest, being prepared, and showing good manners.
118	1.10962892	296	20	I don't want to be rude. I know that all of you live in the same neighborhood.
119	25.02381516	294	11	I am Sandra Donovan from BRAIN-Tec.
120	10.66214514	299	3	Can't go
121	12.35841441	298	27	That's very kind. This is Dr. Brain. I'm your host, and I'm here to give you a little help.
122	21.88741875	295	23	I'm really sorry to hear that, but I hope the rest of your day is less hectic than today.
123	2.37166929	292	12	Be patient. It's a skill that can be learned.
124	42.26795077	291	9	Taking a personal approach and being assertive.
125	18.90612721	288	1	Hey
126	0.73386264	298	14	Being passionate, having a plan, and always having an exit strategy.
127	43.46810222	294	11	Go if you have a good attitude and enjoy yourself.
128	44.58862138	299	8	I think that should be a priority.
129	0.38567328	293	6	Plan ahead and be prepared.
130	8.95933509	295	212	If it's worth it, put in the effort. I think the best thing to do in this situation is to not only take a deep breath, but also be ready and willing to walk away from the audition if you're not comfortable with the process. And this would be especially true if you're auditioning in front of someone you find intimidating or not very familiar with. I've been told by an auditioner that this is the most difficult part of the audition process for him. The other advice I would give here is to treat yourself the way you would want to be treated. If you feel nervous or intimidated, don't allow it to dictate your actions. Go in and do your best, no matter how bad it is. If it improves, great. If it doesn't, don't get too down on yourself. I have a friend who, if her first audition didn't go well, would get in her car and drive off crying. You can imagine how that would end up for her on the side of the highway or in a ditch.
131	11.41369653	295	9	Spending quality time with friends and family.
132	0.29166293	288	4	Are you okay?
133	4.24907851	298	29	We suggest starting with the customer by saying something like, “Welcome to Brain Doctors. I’m pleased to meet you.”
134	45.03095365	301	15	We will start next week, so I have not set the slot yet.
135	15.24024510	297	13	No. When we have, I'll get back to you.
136	44.50716710	305	16	Please leave a message or call if there is anything we can help you with.
137	0.52605367	299	9	Thank you. Your reward will be soon.
138	18.22003222	294	9	Follow up to any follow-up questions.
139	5.40344739	292	6	Take a break and relax.
140	4.21764255	293	6	Wake up on time.
141	4.01327252	292	13	Avoiding confrontations and accepting constructive criticism can improve team communication.
142	35.01619887	294	15	Yeah, this is the BRAIN. How can I solve your problem?
143	44.47052431	296	14	Do you see the difference between "dog" and "walked"?
144	17.16506004	297	11	What are some ways we might be able to communicate?
145	7.57576323	292	7	I am having a great day!
146	28.88409901	300	3	Sounds good!
147	41.15021157	295	5	Why do you ask?
148	0.61895156	289	12	Make sure you are comfortable with yourself before asking for anything.
149	1.12627435	297	10	Visit http://www.braincafe.it
150	0.77877665	298	5	We will be here.
151	43.68561268	292	13	I don't know... but I do know that we're working
152	0.62498522	325	11	Sorry, we have closed the call. Thank you.
153	46.38215327	309	24	I'm currently working. I have a lot of things to do. I'm not sure if I can do it.
154	43.88282561	289	11	Be prepared and understand your opponent's point of view.
155	18.12104177	296	4	What is it?
156	43.35343242	292	15	Practice first, get feedback, and get it all down on paper.
157	44.87258291	300	14	Be confident and never give in to someone who has control over you.
158	7.73246145	301	10	Nicky? Yeah, she was having sex with
159	41.88478422	292	5	Taking a new approach.
160	9.49237394	299	12	This is a personal message from your favorite website and we are
161	3.37572742	302	8	No bouncy castles in the hall.
162	11.37362218	299	11	You must first determine if you are looking for something.
163	10.53919792	291	2	Yes.
164	1.08910322	314	7	Keep your cool and be diplomatic.
165	0.65846014	290	7	Thanks. I love you to!
166	0.30821109	300	4	Incoming messages!
167	0.38546228	295	6	Start early and be prepared.
168	4.96341395	296	7	Imagine Dragons are coming to us!
169	51.59267020	361	50	The car did not appear to be at fault so there is little point having it checked. Can you describe the display message? Do you have your contract with a mechanic who services the cars on your car? I will add this information to the database.
170	1.03397965	304	22	I have no such plans. But if you and your parents want to visit me, let just me know.
171	1.62541890	289	12	There is a certain etiquette when having a discussion about money.
172	44.81785131	300	14	I'll be glad to help. What would you like from me?
173	3.65848470	297	8	This time and effort will help others.
174	29.11489558	296	13	Negate any negative images that you have about a particular field.
175	43.99260235	298	11	Have you heard the new 30 Seconds to Mars album?
176	1.46394992	290	14	I'm afraid I must insist that you put down that cell phone.
177	11.84096932	301	17	"The one who is least likely to succeed is the one who says he will."
178	43.84345222	292	11	Negotiation is the most important thing in any business.
179	1.04442811	293	19	Take a break from work every so often and spend quality time with the people you care about.
180	0.57970953	294	11	I am not sure. I will let you know.
181	43.86882567	292	12	Having a clear goal in mind before you begin your negotiation.
182	12.51202083	310	4	Yes we know :)
183	0.34701681	292	5	Avoiding power plays.
184	18.04961777	288	2	Hello!
185	0.45295858	295	6	Are you familiar with it?
186	16.52262402	296	10	A tattoo is a great way to express yourself.
187	2.50871706	296	12	I’ll need to use the downstairs toilet first.
188	0.65720558	298	9	In some countries traffic is on the right.
189	42.45063186	292	10	How to improve your interpersonal skills and relationship skills.
190	46.80987811	313	19	When I found the task is not interesting for me I will not be able to complete it.
191	1.62881112	294	9	Responding to messages in a timely manner.
192	0.57842922	291	11	We can work together to solve problems and grow together.
193	0.79739690	296	16	We all are the creators of our own happiness. We can do it! :)
194	16.80758810	297	5	Let me see it.
195	46.08832788	306	5	Take time to research.
196	40.56892824	292	9	I hear you. I hate her too.
197	48.57668138	331	8	Have a vegetarian/vegan option.
198	0.58028221	295	10	Are you referring to some time in the future?
199	5.37527156	291	3	Have courage.
200	41.91027069	291	13	We are available 24/7. What problem are you experiencing?
201	5.21357918	295	14	I don't know, why don't you go and find out?
202	45.68636775	308	17	Merry Christmas! Wishing you and Elena the very best for the holiday season!
203	0.45177197	295	6	He was a great date.
204	41.26494050	293	9	It’s just not that easy.
205	0.57857513	289	10	Why did you choose to look up this question?
206	31.37222123	296	5	Going out to eat.
207	0.38543367	290	1	hi
208	48.31226444	329	6	Start creating your own business!
209	34.71680665	292	9	Learning to listen, and being open minded.
210	38.55365634	294	11	No, I don't think that will help me.
211	4.24537301	295	8	We are. We are at the university
212	38.02643538	292	9	You have to think like the other person.
213	2.76423717	298	16	You've been here less than a month! Are you really back for good?
214	37.13034892	295	4	Do it today!
215	43.76394105	301	11	Top of the Pops. What the...?!?
216	0.46373868	298	7	Remembering what it was like...
217	40.85013223	296	1	no
218	42.66763139	292	12	Spend some time away from your desk to rejuvenate.
219	43.50589156	307	6	Photo shop doesn't lie.
220	19.64902568	298	11	What is your name? How may I help you?
221	40.52115512	292	7	You’re drinking coffee.
222	17.66694331	293	8	Prepare thoroughly—and be positive.
223	30.08249688	295	17	Make a written list of the things you want/need and then negotiate on price.
224	0.69278359	293	11	Don’t forget to take care of yourself.
225	10.20387006	292	7	Try to work on resolving differences.
226	42.91854858	296	3	Be prepared.
227	7.33059549	293	5	Think before you type.
228	1.82598758	294	11	a glass of champagne or a nice scotch?
229	14.05012918	296	5	Stay calm and rational.
230	0.69689870	295	14	Negotiating should be thought of as a two-way street.
231	41.25323653	293	7	Make sure you have lots of cash
232	1.03140640	288	5	Are you a human?
233	12.30808258	292	5	How about we eat!
234	2.05274701	300	7	We want to be left alone.
235	0.22914958	290	2	Thank you
236	47.76707578	314	5	I don't know :(
237	20.81521416	294	12	Human, you have one month. I will handle this.
238	1.71015286	295	2	No.
239	40.97670364	295	9	Why do you think I'm a bitch?
240	42.82494545	293	5	When I'm ready.
241	44.92448688	295	8	Do I know where Maryam is?
242	8.42813802	303	15	It's a team of two, and we can be ready whenever you are
243	1.75844598	338	14	Sorry, I can't take anyone. It's too hectic.
244	11.50017047	289	2	Hi.
245	44.23020315	305	15	What’s your opinion on Obama? Illuminati does a great job.
246	43.63148880	295	10	This question will not be able to be answered.
247	6.52359080	296	2	No.
248	9.96412230	294	7	Your brain works better with help!
249	7.71220660	292	3	try harder.
250	42.57023144	301	6	A great proposal is essential.
251	11.69414735	296	20	Be sure to communicate clearly with the new person, be on time, and prepare for the meeting.
252	5.37163591	295	13	The sooner you act, the more you will have to gain.
253	41.43917155	294	8	What is your business name and address?
254	27.68096137	295	4	Know your goals.
255	27.30059266	293	12	Recognize the importance of your skills and work ethic.
256	7.65952468	299	17	Would you like to know more about the club and who it’s for?
257	1.70898771	298	32	I enjoy presentations in groups. It’s like playing a video game, in which you have to make decisions and make sure you get all those points.
258	9.19947910	293	5	Yes, I am.
259	11.32701993	299	12	The brain is the most important organ in the human body.
260	28.04318452	310	11	A dress is meant to flatter your body shape.
261	42.45832443	292	35	The Brain has been given your memory; it has been given some of your thinking ability, and it also has some of your emotions, but it can't do this alone.
262	43.37599397	297	12	Look for travel deals that are less expensive than other flights.
263	0.52200532	294	9	Choose a dentist whose approach fits your lifestyle.
264	41.80050969	289	3	OMG!
265	9.59774876	293	13	Pull over to the shoulder and call 9-1-1.
266	17.39008594	294	4	I am thinking.
267	33.36797929	299	12	Most of the people will be girls from the village 40+
268	0.61871219	291	11	Â¡Qué pasa, querida?!
269	0.38604879	294	7	Ethan is not very interesting.
270	27.41611171	291	19	Look at the trees, look at the sky, look at the clouds, and just relax.
271	44.44205546	301	7	Yes. It was not pleasant.
272	16.04865861	292	10	No, Holly is too shy to do this.
273	18.68674827	298	10	No, I don't have a favorite dinosaur.
274	15.79619861	293	7	No thanks, I'm busy.
275	8.28101754	296	8	You have a lot to answer for.
276	14.96515632	292	6	Do research and be prepared.
277	5.34561586	294	9	I am very well. How about you?
278	33.15532064	306	7	Understand the other person's expectations
279	43.12493753	299	11	No excuse! I just didn't know, sorry.
280	42.11525559	290	7	It is good to be honest.
281	36.39329672	294	16	I talked to Miro today. I'm not sure how to explain it.
282	45.51359415	322	20	I can recommend the "Shaft" movies, but I'd prefer to not see the films.
283	44.43548346	306	21	The number 15 is a popular number and the 15th month is also a popular time for birthdays.
284	22.29854536	297	11	This is a date, we're not going out.
285	33.13092589	292	15	Be prepared, be confident, build trust, be polite and be fair.
286	43.62882519	290	3	hey whats up
287	9.19289398	296	2	Yes.
288	17.83578777	292	8	I've been seeing mum, too.
289	12.82586718	301	7	Ask your opinion often and respectfully.
290	1.24126816	292	30	Communicate before and during a negotiation about your goals, needs, and values and listen to the other person's goals, needs, and values.<|endoftext|>
291	0.61754870	295	12	Research before making a purchase and research what your options are.
292	21.67646050	298	4	Just do it.
293	16.88637066	295	12	I’ve seen him, in the coffee shop.
294	0.50178289	297	9	I will do my best to arrange this.
295	9.55706239	292	4	You need to be
296	5.84120464	289	12	Being flexible, having an open mind, and always listening.
297	43.03202152	294	9	There are a lot of people like me.
298	44.78828597	297	19	I would like to go and spend time with family, would love to plan the holiday early.
299	11.02114511	295	16	No, I am still waiting on you! But I am not going anywhere!
300	19.84962678	291	4	We're great :)
301	2.89586973	305	3	Package tour.
302	42.23394561	296	7	Being able to believe in yourself.
303	0.45235991	290	6	Networking and research online.
304	5.42334366	301	8	I’m glad you asked!
305	16.88122201	288	7	I am a very successful business leader
306	18.28735495	312	11	Use of floss and hand hygiene are very important.
307	1.12250400	292	10	Being open to compromise and having a game plan.
308	3.26141977	301	5	Don't give up.
309	5.30895925	332	13	hanks..I will call you to say it is ok...
310	0.30720496	290	4	I don't know
311	1.98018646	292	16	Make sure you have an objective, and be honest with yourself and your partner.
312	43.49004889	304	5	Buy more refills.
313	2.93622375	296	71	Why hello there! I hope you've had a marvelous day, and I hope you've found your way to the <a href="{{{ '/links/{{user.link}}' | relative_url }}}">{{{ user.link }}}</a>! If not, you can find me underneath the blue hibiscus!
314	0.19150448	298	0	
315	43.12998819	295	7	I know this machine very well.
316	6.39848876	294	2	No.
317	2.91471386	298	10	I think you'd need to be very patient.
318	42.98331976	294	8	<fIie_others>
319	3.36679220	294	10	I'll answer your call when I pick up.
320	5.52184939	301	13	If the bear was a vegetarian, it may have gotten away.
321	41.90114594	297	28	This is a major milestone in your career and would be worth it to go and get your confirmation letter in before you apply for this job.
322	0.71940184	296	15	If required, I will do the work. If not, contact me.
323	40.30885100	293	5	I have some time.
324	43.84952855	299	6	Thanks bro, good luck!
325	36.27264237	297	6	Your dog will be there.
326	8.17659926	291	16	Keep in touch with your friends and family; don't miss any social events.
327	40.36396337	292	6	Research Seoul and its culture.
328	43.21010017	298	7	Check your health and seek medical attention
329	1.78642654	298	12	Try not to let your emotions get the better of you.
330	21.31572127	301	9	It's romantic to give and receive compliments.
331	42.81076360	293	4	Play more golf.
332	43.04853749	291	5	3-10 years.
333	0.34671593	301	7	I am feeling the same.<|endoftext|>
334	45.53772211	325	26	Learn to love someone who is difficult and will take over every part of your life, whether or not he does so on purpose.
335	2.50120878	295	16	You have a clear message, and it's coming from a place of love.
336	18.51062632	293	12	A plate of meat, potatoes, vegetables, and bread.
337	8.76474977	308	16	I guess we are going to discuss it after. You should check the details.
338	44.83741641	308	6	Let me know in advance.
339	42.89375520	296	9	Hey! How's life? Doing ok.
340	43.12154317	299	10	How's it going? How are you Coco?
341	1.65126848	295	13	The brain is not a computer.  It has no programming.
342	44.93568206	301	15	Your brain would like to know if the waste management system is working well.
343	42.42305470	293	8	Be honest about your needs and desires.
344	42.92384887	295	6	Can you repeat that please?
345	0.34704399	295	5	Be honest and fair.
346	42.09322143	293	0	
347	3.88784337	302	11	I need rest and you have all day to work.
348	14.62303233	290	16	If you don't have a way to get home, take care of you.
349	41.26265669	299	8	You need to say NO MORE often!!
350	3.30590272	305	39	Absolutely! We've made some changes to the way we present ourselves to the public, and we're hoping to bring a better sense of who the company really is (without resorting to slogans!)
351	0.69648790	295	14	The furniture, kitchen, bathrooms, appliances, etc. are great!
352	2.83581543	292	12	Do not assume that you know the other person's interests.
353	1.47481108	294	4	I am fine.
354	0.57964158	295	11	You can negotiate better if you've done your research.
355	11.90459371	289	33	You’ve solved an AI problem and now we’re ready to help you with the real questions. Please take a few moments to complete the quiz.
356	0.76039958	292	15	Being on time, making time for yourself, and being respectful of others.
357	1.60686946	319	32	Your new client seems to be very interested in a new product or service. Take advantage. Let's make a deal so you can be on your way!<|endoftext|>
358	27.00107479	292	9	She's not the best of bargain hunters.
359	4.33524179	296	7	I am here in the office.
360	8.89329624	297	9	How to create a budget and save money.
361	30.51684308	295	12	I love my sister and would love to know her situation.
362	43.28070664	299	17	I saw it.   You need to focus on the report you sent me.
363	5.63839650	301	12	Well, I have to go to the bathroom. Bye!
364	3.37565351	295	3	Are you there
365	0.50149417	302	9	Ask for more than you think you deserve.
366	11.80102158	296	12	I'm not sure, but I think I'll wait.
367	40.55402637	295	45	Hm. You have been selected for a very special opportunity. A very important human is coming to your workplace. He will be visiting from another continent. During his visit, he wants to taste some of the local dishes!
368	4.46888328	289	40	To improve health, you need a plan. We understand that. But planning can be overwhelming. This week we've put together some tips so you can take care of your own health in 30 days.
369	4.62477517	289	8	This is the pie of the mind.
370	22.07212806	297	18	The cafe on Route 20, near the entrance to the Pokémon Center, closed in May.
371	10.46275783	295	15	Planning for the future and having confidence can make the day more productive.
372	15.67605567	327	13	What does this mean for our relationship? How will I recover?
373	2.76365519	294	2	Where?
374	2.63096857	289	7	Start by building rapport with others.
375	12.11596990	296	7	Your marriage may be in trouble.
376	42.90442395	293	12	Hi, I’m well, thanks for asking.
377	4.45847774	297	11	You should wear your derby gear and do your best.
378	0.38467884	289	6	What would your advice be?
379	1.16037679	292	13	I never get the time from work to work on my research.
380	40.84284186	296	39	Thanks for considering Brain as your financial advisor. It is our pleasure to help you plan for the future and invest your money in ways that will provide you with an income that you can live on.
381	0.65760779	292	13	Taking the time to understand the other person's needs and feelings.
382	1.53685331	296	3	The Bahamas.
383	24.70272636	293	23	https://www.youtube.com/watch?v=Zq_HdYgjY7Y
384	34.16386390	295	5	Sure, Jaz.
385	40.18435502	293	5	No thanks, Brain.
386	2.25009727	302	11	No, i'm not a hairdresser.
387	42.51230693	294	56	One of the most important parts of the brain is the pituitary gland, which is located high atop the brain. It is responsible for the production of hormones which regulate many functions of the body. It even produces hormones that control emotions, like the hormones which cause a migraine.
388	43.57847428	308	234	Good question! It's an exhibition of work in an artist's own style. I've had a look at the catalogue. It's a small exhibition, but it's a good example of the kind of work artists do. I love philosophy. It's not a subject that I expect anyone to know about, so seeing philosophy expressed in other ways is very attractive. Many artists have studied it. The catalogue has drawings, paintings, and other types of work, so you can see what the artist thinks about these ideas. You can even find images from some of his films. I'm sure you will enjoy the exhibition. It's in the hall where the lectures are usually held in the University. Can I give you a few more tips for the catalogue? It's got some nice pictures and words, but they are not in English. They are in French. Amelia has translated some of the text. Take a look at it. It's a bit different from the typical philosophy book. It has some sections about the artist's life and philosophy, and a bit about art in general. It's an unusual, but very interesting, book. See you at the exhibition!
389	0.46477032	316	8	I haven’t heard anything.
390	14.59883404	296	5	Put in the work.
391	1.55573082	291	22	On the street, in a classroom, on the train, at home, in the kitchen, at work.
392	0.42288971	298	8	Respect for both parties is required.
393	42.47009873	292	13	Do not assume that the person you are talking to will answer.
394	10.27354980	297	23	Learn about what your friends like to do and make sure that you choose and go places where you will be comfortable.
395	1.58737254	289	34	Negotiation is a skill that can be learned. Make sure to understand the other party's position or needs; you can't beat a lowball offer. Good luck!
396	1.54329777	292	11	You did it, just like I told you too?
397	15.61695099	322	9	I have nothing.  How bout you?
398	42.49160290	301	8	I drive a Hummer H2.
399	0.44772863	296	8	Making a strong business case for change.
400	3.18679261	295	27	I'm a successful woman in business, but I'm interested in having a relationship with someone who doesn't have a lot of money.
401	41.97164941	288	1	Yo
402	40.63560581	293	10	It is a type of online video sharing application.
403	32.89363360	292	5	Building rapport is critical.
404	17.47135854	294	17	It's important to be flexible with our schedules and to try and be around others.
405	0.52976537	291	9	In Seattle, and working on this app.
406	7.29263473	298	6	I'm not a liar.
407	0.53091502	297	9	We're planning to meet up with friends.
408	41.80570459	289	2	Congratulations!
409	0.19090009	293	0	
410	0.73334408	291	15	I don't know.  Perhaps you didn't ask the right question.
411	43.11548305	294	20	It's going well, and we need to reach a certain goal by the end of the week.
412	1.62751365	293	6	What are you doing later?
413	0.36888528	296	6	Communicating clearly and patiently.
414	41.57160544	292	19	Being open to change, building rapport with the person you are negotiating with, and avoiding threats.
415	34.82220674	296	9	We would wish you a Happy Passover.
416	1.07845950	295	11	I got the package and will get right to it.
417	0.54926968	297	8	You could try leaving an open alternative.
418	7.55633616	293	18	The right place depends on your destination and what you're going to do in the destination.
419	30.55068302	291	15	A few ways to find the right therapist who can help with this issue.
420	13.23599291	297	17	Yes I saw the premiere of the new season last night. It was pretty good.
421	6.00653315	292	11	Ask more questions and make the best of the situation.
422	42.64474368	294	11	I'm not sure if I like it or not.
423	0.46324492	308	8	I'm not sure how to respond.
424	1.70678043	289	12	I'm so glad you invited me to this wonderful network.
425	42.29728508	305	9	I'm sorry, I don't know.
426	41.88565612	292	12	It sounds like your parents are already working on these things with
427	28.76769280	295	9	Noting and repeating the most important items.
428	0.34655643	300	5	Use the text function.
429	1.51154232	300	10	What is the average salary of a college student?
430	1.70654106	298	16	Maybe we'll do the dishes, you finish your work at the office first?
431	43.16373229	303	12	"BRAIN, we don't have a clue."
432	35.38510990	303	10	I wouldn't recommend it - tattoos are painful.
433	6.17851925	297	6	Keep it clean and organized.
434	23.22691345	300	9	You need to take things slow when dating.
435	42.11878181	296	10	I come from the wilds of the internet.
436	2.47904110	299	12	Have an organized and well-made plan and stay focused.
437	10.02980161	300	9	We have some good pizza in the fridge.
438	14.14841461	303	9	You can’t see the heat.
439	9.64914155	315	19	What i would do is give a little something and then you would need to give them money back
440	0.48618865	296	9	Negotiate and stick to your plan.
441	41.37756681	290	15	I'm not hungry.  I should go home and get some sleep.
442	2.74405026	304	29	Don't talk about how you made the money; instead, focus on how to make it a greater return than what you were expecting to lose.
443	4.25793052	294	12	No, it's a bit too early in the year.
444	41.76284146	295	10	Your car is not a friggin' awesome!!!
445	40.91912985	289	8	[CUT TO COMMERCIAL]
446	45.14400673	312	10	I'm planning a surprise party with my friends.
447	21.21868849	296	9	I love kim, she's so sweet
448	0.69336987	293	4	No plans yet...
449	1.71731567	295	5	Have a safe journey.
450	6.31727195	302	5	Practice makes perfect.
451	9.06260490	301	11	Negotiation and using the best strategy for the situation.
452	2.17199516	295	5	Phone numbers aren't public
453	42.66094279	293	13	I watched the third season of the reality television show Parks and Recreation
454	0.50203800	297	11	If you want to play, just get one.<|endoftext|>
455	20.79219246	296	15	You may want to start with something simple and continue with more complex issues.
456	1.16118217	295	4	We made it.
457	0.54045129	299	10	Send a list of specific concerns to the hiring manager
458	0.76034212	300	14	We hope you enjoyed learning about brains. Thanks for watching this video.
459	0.46353388	302	8	Cheer others up and smile often.
460	42.50454235	293	3	Please advise.
461	2.71629906	299	18	Try to get as much information as possible about the person you're meeting, before arriving.
462	43.75306106	328	7	Practice, practice, practice!
463	0.34151173	304	4	Let's go!
464	10.76545191	300	7	Check the ASEEES website.
465	40.82098079	299	13	Hello, welcome to the store, how can I help you?
466	1.44238043	300	15	Yes, it should be coming out sometime in the next week or so.
467	47.09975529	325	31	I think I would have to borrow a cable... I have an Android which can do Wi-Fi... but for an hour you could borrow a PC...
468	19.35572362	296	28	We can meet up later to talk about the game. If there's anything you want to talk about then I'd be glad to help.
469	41.40904474	305	13	We are in negotiations to co-finance Aquaman 2.
